S.No,Service Name,Code,Dept,SLA (Days),CAN Required?,Validity,File Rules,Target Demographic,Govt Fee,e-Sevai Fee,Online & Offline Access Sources,Tracker URL,First Appellate Authority,Workflow
51,Fresh Passport Application,PSP-101,MEA / Passport,30 Days,No,10 Years,PDF/JPG < 1MB,Indian Citizens,"₹1,500",₹100 (CSC),Online: passportindia.gov.inOffline: Passport Seva Kendra (PSK),passportindia.gov.in,Regional Passport Officer,Online App → Slot Booking → PSK Document Verification → Police Verification → Dispatch
52,Passport Re-issue / Renewal,PSP-102,MEA / Passport,15 Days,No,10 Years,PDF/JPG < 1MB,Existing Passport Holders,"₹1,500",₹100 (CSC),Online: passportindia.gov.inOffline: Passport Seva Kendra (PSK),passportindia.gov.in,Regional Passport Officer,Online App → Slot Booking → PSK Verification → Police Verification (if address changed) → Dispatch
53,Tatkaal Passport Service,PSP-103,MEA / Passport,3 Days,No,10 Years,PDF/JPG < 1MB,Urgent Travel Seekers,"₹3,500",₹150 (CSC),Online: passportindia.gov.inOffline: Passport Seva Kendra (PSK),passportindia.gov.in,Regional Passport Officer,Online App → Tatkaal Slot → PSK Verification → Post-Police Verification Dispatch
54,PCC (Police Clearance Cert),PSP-104,MEA / Police,14 Days,No,6 Months,PDF < 500KB,Visa / Employment Seekers,₹500,₹60 (CSC),Online: passportindia.gov.inOffline: PSK / Local Police Station,passportindia.gov.in,Regional Passport Officer,Online App → PSK Verification → Police Station Verification → PCC Issue
55,Building Plan Sanction (Single),DTCP-101,DTCP / CMDA,30 Days,No,5 Years,CAD / PDF < 10MB,Residential Plot Owners,Statutory,₹150 (CSC),Online: onlinebuildingplan.tn.gov.inOffline: CMDA / Corporation Office,onlinebuildingplan.tn.gov.in,Member Secretary (CMDA),Online Submission → Site Inspection → Scrutiny Fee Payment → Plan Sanction
56,Building Construction Renewal,DTCP-102,DTCP / CMDA,15 Days,No,3 Years,PDF < 2MB,Developers / Builders,Statutory,₹100 (CSC),Online: onlinebuildingplan.tn.gov.inOffline: CMDA / Corporation Office,onlinebuildingplan.tn.gov.in,Member Secretary (CMDA),Application Submission → Inspection → Fee Payment → Renewal Issuance
57,Occupancy Certificate (OC),DTCP-103,DTCP / CMDA,21 Days,No,Lifetime,PDF < 5MB,Completed Building Owners,Statutory,₹100 (CSC),Online: onlinebuildingplan.tn.gov.inOffline: CMDA / Corporation Office,onlinebuildingplan.tn.gov.in,Member Secretary (CMDA),Application → Field Inspection by Town Surveyor → Completion Compliance → OC Grant
58,Layout Approval (Unapproved),DTCP-104,DTCP / CMDA,90 Days,No,Lifetime,PDF < 5MB,Plot Owners / Real Estate,Regularization Fee,₹150 (CSC),Online: tnlayoutreg.inOffline: Local Planning Authority,tnlayoutreg.in,Member Secretary (CMDA),Scrutiny → Local Body NOC → Fee Payment → Regularized Layout Orders
59,Land Use Change Certificate,DTCP-105,DTCP / CMDA,60 Days,No,Lifetime,PDF < 5MB,Property Owners / Developers,Statutory,₹150 (CSC),Online: onlinebuildingplan.tn.gov.inOffline: Collectorate / Planning Dept,onlinebuildingplan.tn.gov.in,District Collector,Field Verification → Public Notice → Hearing → Reclassification Approval
60,Certified Copy of Sale Deed,REG-103,Registration,3 Days,No,Lifetime,PDF < 2MB,Property Document Owners,Statutory,₹60 (CSC),Online: tnreginet.gov.inOffline: Sub-Registrar Office (SRO),tnreginet.gov.in,District Registrar,Search Document → Fee Payment → Online Web Download / SRO Print
